Id,Question,Answer
187,Kuşadası - Karpuzlu istikametinde giden otobüs seferlerinden hangilerinde engelli arabasıyla seyahat edebilirim?,"Kuşadası - Karpuzlu istikametinde giden 1.sefer,2.sefer,3.sefer,4.sefer ve 7.seferlerimizde engelli arabasıyla seyahat edilebilmektedir."
188,Köşk - Çine istikametinde giden otobüs seferlerinden hangilerinde engelli arabasıyla seyahat edebilirim?,"Köşk - Çine istikametinde giden 2.sefer,4.sefer ve 6.seferlerimizde engelli arabasıyla seyahat edilebilmektedir."
189,Çine - Köşk istikametinde giden otobüs seferlerinden hangilerinde engelli arabasıyla seyahat edebilirim?,"Çine - Köşk istikametinde giden 1.sefer,3.sefer,5.sefer ve 7.seferlerimizde engelli arabasıyla seyahat edilebilmektedir."
190,Yeni Pazar - Karacasu istikametinde giden otobüs seferlerinden hangilerinde engelli arabasıyla seyahat edebilirim?,"Yeni Pazar - Karacasu istikametinde giden 1.sefer,3.sefer,4.sefer ve 6.seferlerimizde engelli arabasıyla seyahat edilebilmektedir."
191,Karacasu - Yeni Pazar istikametinde giden otobüs seferlerinden hangilerinde engelli arabasıyla seyahat edebilirim?,"Karacasu - Yeni Pazar istikametinde giden 2.sefer,5.sefer ve 7.seferlerimizde engelli arabasıyla seyahat edilebilmektedir."
192,605 hangi duraklardan geçiyor?,"605 numara Adü, Forum, Meydan, Tren Garı ve Otogardan geçiyor."
193,606 numara Koçarlı’dan saat kaçta geçiyor?,"606 numara Koçarlı’dan 09:05, 11:25, 12:30, 14:50, 17:05, 19:35, 21:10 saatlerinde geçiyor."
194,Adü'den Otogar'a hangi otobüs gidiyor?,Adü'den Otogar'a 605 numaralı otobüs gidiyor.
195,Forum’dan hangi otobüsler geçiyor?,Forum Aydın durağından 605 numaralı otobüs geçiyor.
196,607 numarada tekerlekli sandalye var mı?,"607 numaranın 1, 3, 5 ve 7'nci seferlerde tekerlekli sandalye bulunmaktadır."
197,Karpuzlu'dan Koçarlı'ya öğrenci ne kadar?,"Karpuzlu’dan Koçarlı’ya öğrenci ücreti 2,80 TL’dir."
198,Kuşadası'ndan Karpuzlu'ya son otobüs ne zaman?,Kuşadası’ndan Karpuzlu’ya son otobüs seferi saat 19:15'tedir.
199,Otogardan Adü'ye seferler kaçta başlıyor?,Otogardan Adü’ye ilk sefer 6:15'te başlıyor.
200,605 numaralı otobüs hattının durakları nelerdir?,"605 numaralı otobüs hattının durakları ADÜ, Forum Aydın, Zafer Meydanı, Tren Garı ve Otogardır."
201,606 numaralı otobüs hattının durakları nelerdir?,"606 numaralı otobüs hattının durakları Karpuzlu, Koçarlı, İncirliova, Söke ve Kuşadası'dır."
202,607 numaralı otobüs hattının durakları nelerdir?,"607 numaralı otobüs hattının durakları Köşk, Germencik, Efeler, Bozdoğan ve Çine'dir."
203,608 numaralı otobüs hattının durakları nelerdir?,"608 numaralı otobüs hattının durakları Yeni Pazar, Nazilli, Sultan Hiisar, Kuyucak ve Karacasu'dur."
204,605'in durakları nelerdir?,"605 numaralı otobüs hattının durakları ADÜ, Forum Aydın, Zafer Meydanı, Tren Garı ve Otogardır."
205,605 seferli otobüs'ün durakları nelerdir?,"605 numaralı otobüs hattının durakları ADÜ, Forum Aydın, Zafer Meydanı, Tren Garı ve Otogardır."
206,605'in istikameti nerelerdir?,"605 numaralı otobüs hattının durakları ADÜ, Forum Aydın, Zafer Meydanı, Tren Garı ve Otogardır."
207,605 nerelerden geçmektedir?,"605 numaralı otobüs hattının durakları ADÜ, Forum Aydın, Zafer Meydanı, Tren Garı ve Otogardır."
208,605 nereye gitmektedir?,"605 numaralı otobüs hattının durakları ADÜ, Forum Aydın, Zafer Meydanı, Tren Garı ve Otogardır."
209,606'nın durakları nelerdir?,"606 numaralı otobüs hattının durakları Karpuzlu, Koçarlı, İncirliova, Söke ve Kuşadası'dır."
210,606 seferli otobüs'ün durakları nelerdir?,"606 numaralı otobüs hattının durakları Karpuzlu, Koçarlı, İncirliova, Söke ve Kuşadası'dır."
211,606'nın istikameti nerelerdir?,"606 numaralı otobüs hattının durakları Karpuzlu, Koçarlı, İncirliova, Söke ve Kuşadası'dır."
212,606 nerelerden geçmektedir?,"606 numaralı otobüs hattının durakları Karpuzlu, Koçarlı, İncirliova, Söke ve Kuşadası'dır."
213,606 nereye gitmektedir?,"606 numaralı otobüs hattının durakları Karpuzlu, Koçarlı, İncirliova, Söke ve Kuşadası'dır."
214,607'nin durakları nelerdir?,"607 numaralı otobüs hattının durakları Köşk, Germencik, Efeler, Bozdoğan ve Çine'dir."
215,607 seferli otobüs'ün durakları nelerdir?,"607 numaralı otobüs hattının durakları Köşk, Germencik, Efeler, Bozdoğan ve Çine'dir."
216,607'nin istikameti nerelerdir?,"607 numaralı otobüs hattının durakları Köşk, Germencik, Efeler, Bozdoğan ve Çine'dir."
217,607 nerelerden geçmektedir?,"607 numaralı otobüs hattının durakları Köşk, Germencik, Efeler, Bozdoğan ve Çine'dir."
218,607 nereye gitmektedir?,"607 numaralı otobüs hattının durakları Köşk, Germencik, Efeler, Bozdoğan ve Çine'dir."
219,608'in durakları nelerdir?,"608 numaralı otobüs hattının durakları Yeni Pazar, Nazilli, Sultan Hiisar, Kuyucak ve Karacasu'dur."
220,608 seferli otobüs'ün durakları nelerdir?,"608 numaralı otobüs hattının durakları Yeni Pazar, Nazilli, Sultan Hiisar, Kuyucak ve Karacasu'dur."
221,608'in istikameti nerelerdir?,"608 numaralı otobüs hattının durakları Yeni Pazar, Nazilli, Sultan Hiisar, Kuyucak ve Karacasu'dur."
222,608 nerelerden geçmektedir?,"608 numaralı otobüs hattının durakları Yeni Pazar, Nazilli, Sultan Hiisar, Kuyucak ve Karacasu'dur."
223,608 nereye gitmektedir?,"608 numaralı otobüs hattının durakları Yeni Pazar, Nazilli, Sultan Hiisar, Kuyucak ve Karacasu'dur."
224,ADÜ'ye hangi numaralı otobüsle gidebilirim?,ADÜ'ye 605 numaralı otobüs ile gidilmektedir.
225,Forum Aydın'a hangi numaralı otobüsle gidebilirim?,Forum Aydın'a 605 numaralı otobüs ile gidilmektedir.
226,Zafer Meydanı'na hangi numaralı otobüsle gidebilirim?,Zafer Meydanı'na 605 numaralı otobüs ile gidilmektedir.
227,Tren Garına hangi numaralı otobüsle gidebilirim?,Tren Garına 605 numaralı otobüs ile gidilmektedir.
228,Otogara hangi numaralı otobüsle gidebilirim?,Otogara 605 numaralı otobüs ile gidilmektedir.
229,Karpuzlu'ya hangi numaralı otobüsle gidebilirim?,Karpuzlu'ya 606 numaralı otobüs ile gidilmektedir.
230,Koçarlı'ya hangi numaralı otobüsle gidebilirim?,Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.
231,İncirliova'ya hangi numaralı otobüsle gidebilirim?,İncirliova'ya 606 numaralı otobüs ile gidilmektedir.
232,Söke'ye hangi numaralı otobüsle gidebilirim?,Söke'ye 606 numaralı otobüs ile gidilmektedir.
233,Kuşadası'na hangi numaralı otobüsle gidebilirim?,Kuşadası'na 606 numaralı otobüs ile gidilmektedir.
234,Köşk'e hangi numaralı otobüsle gidebilirim?,Köşk'e 607 numaralı otobüs ile gidilmektedir.
235,Germencik'e hangi numaralı otobüsle gidebilirim?,Germencik'e 607 numaralı otobüs ile gidilmektedir.
236,Efeler'e hangi numaralı otobüsle gidebilirim?,Efeler'e 607 numaralı otobüs ile gidilmektedir.
237,Bozdoğan'a hangi numaralı otobüsle gidebilirim?,Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.
238,Çine'ye hangi numaralı otobüsle gidebilirim?,Çine'ye 607 numaralı otobüs ile gidilmektedir.
239,Yeni Pazar'a hangi numaralı otobüsle gidebilirim?,Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.
240,Nazilli'ye hangi numaralı otobüsle gidebilirim?,Nazilli'ye 608 numaralı otobüs ile gidilmektedir.
241,Sultan Hisar'a hangi numaralı otobüsle gidebilirim?,Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.
242,Kuyucak'a hangi numaralı otobüsle gidebilirim?,Kuyucak'a 608 numaralı otobüs ile gidilmektedir.
243,Karacasu'ya hangi numaralı otobüsle gidebilirim?,Karacasu'ya 608 numaralı otobüs ile gidilmektedir.
244,ADÜ'ye nasıl gidebilirim?,ADÜ'ye 605 numaralı otobüs ile gidilmektedir.
245,ADÜ'ye nereden gidebilirim?,ADÜ'ye 605 numaralı otobüs ile gidilmektedir.
246,ADÜ'den geçen otobüs nedir?,ADÜ'ye 605 numaralı otobüs ile gidilmektedir.
247,ADÜ'nün otobüsü nedir?,ADÜ'ye 605 numaralı otobüs ile gidilmektedir.
248,ADÜ'ye ne ile gidebilirim?,ADÜ'ye 605 numaralı otobüs ile gidilmektedir.
249,ADÜ'nün hatları nedir?,ADÜ'ye 605 numaralı otobüs ile gidilmektedir.
250,ADÜ'den geçen numaralar nelerdir?,ADÜ'ye 605 numaralı otobüs ile gidilmektedir.
251,ADÜ'de hangi otobüsler durmaktadır?,ADÜ'ye 605 numaralı otobüs ile gidilmektedir.
252,ADÜ'de kaç numaralı otobüsler durmaktadır?,ADÜ'ye 605 numaralı otobüs ile gidilmektedir.
253,Forum Aydın'a nasıl gidebilirim?,Forum Aydın'a 605 numaralı otobüs ile gidilmektedir.
254,Forum Aydın'a nereden gidebilirim?,Forum Aydın'a 605 numaralı otobüs ile gidilmektedir.
255,Forum Aydın'dan geçen otobüs nedir?,Forum Aydın'a 605 numaralı otobüs ile gidilmektedir.
256,Forum Aydın'nın otobüsü nedir?,Forum Aydın'a 605 numaralı otobüs ile gidilmektedir.
257,Forum Aydın'a ne ile gidebilirim?,Forum Aydın'a 605 numaralı otobüs ile gidilmektedir.
258,Forum Aydın'ın hatları nedir?,Forum Aydın'a 605 numaralı otobüs ile gidilmektedir.
259,Forum Aydın'dan geçen numaralar nelerdir?,Forum Aydın'a 605 numaralı otobüs ile gidilmektedir.
260,Forum Aydın'da hangi otobüsler durmaktadır?,Forum Aydın'a 605 numaralı otobüs ile gidilmektedir.
261,Forum Aydın'da kaç numaralı otobüsler durmaktadır?,Forum Aydın'a 605 numaralı otobüs ile gidilmektedir.
262,Forum Aydın'a nasıl gidebilirim?,Forum Aydın'a 605 numaralı otobüs ile gidilmektedir.
263,Zafer Meydanı'na nereden gidebilirim?,Zafer Meydanı'na 605 numaralı otobüs ile gidilmektedir.
264,Zafer Meydanı'ndan geçen otobüs nedir?,Zafer Meydanı'na 605 numaralı otobüs ile gidilmektedir.
265,Zafer Meydanı'nın otobüsü nedir?,Zafer Meydanı'na 605 numaralı otobüs ile gidilmektedir.
266,Zafer Meydanı'na ne ile gidebilirim?,Zafer Meydanı'na 605 numaralı otobüs ile gidilmektedir.
267,Zafer Meydanı'nın hatları nedir?,Zafer Meydanı'na 605 numaralı otobüs ile gidilmektedir.
268,Zafer Meydanı'ndan geçen numaralar nelerdir?,Zafer Meydanı'na 605 numaralı otobüs ile gidilmektedir.
269,Zafer Meydanı'nda hangi otobüsler durmaktadır?,Zafer Meydanı'na 605 numaralı otobüs ile gidilmektedir.
270,Zafer Meydanı'nda kaç numaralı otobüsler durmaktadır?,Zafer Meydanı'na 605 numaralı otobüs ile gidilmektedir.
271,Zafer Meydanı'na nasıl gidebilirim?,Zafer Meydanı'na 605 numaralı otobüs ile gidilmektedir.
272,Tren Garına nasıl gidebilirim?,Tren Garına 605 numaralı otobüs ile gidilmektedir.
273,Tren Garına nereden gidebilirim?,Tren Garına 605 numaralı otobüs ile gidilmektedir.
274,Tren Garından geçen otobüs nedir?,Tren Garına 605 numaralı otobüs ile gidilmektedir.
275,Tren Garının otobüsü nedir?,Tren Garına 605 numaralı otobüs ile gidilmektedir.
276,Tren Garına ne ile gidebilirim?,Tren Garına 605 numaralı otobüs ile gidilmektedir.
277,Tren Garının hatları nedir?,Tren Garına 605 numaralı otobüs ile gidilmektedir.
278,Tren Garından geçen numaralar nelerdir?,Tren Garına 605 numaralı otobüs ile gidilmektedir.
279,Tren Garında hangi otobüsler durmaktadır?,Tren Garına 605 numaralı otobüs ile gidilmektedir.
280,Tren Garına kaç numaralı otobüsler durmaktadır?,Tren Garına 605 numaralı otobüs ile gidilmektedir.
281,Otogara nasıl gidebilirim?,Otogara 605 numaralı otobüs ile gidilmektedir.
282,Otogara nereden gidebilirim?,Otogara 605 numaralı otobüs ile gidilmektedir.
283,Otogardan geçen otobüs nedir?,Otogara 605 numaralı otobüs ile gidilmektedir.
284,Otogarın otobüsü nedir?,Otogara 605 numaralı otobüs ile gidilmektedir.
285,Otogara ne ile gidebilirim?,Otogara 605 numaralı otobüs ile gidilmektedir.
286,Otogarın hatları nedir?,Otogara 605 numaralı otobüs ile gidilmektedir.
287,Otogardan geçen numaralar nelerdir?,Otogara 605 numaralı otobüs ile gidilmektedir.
288,Otogarda hangi otobüsler durmaktadır?,Otogara 605 numaralı otobüs ile gidilmektedir.
289,Otogarda kaç numaralı otobüsler durmaktadır?,Otogara 605 numaralı otobüs ile gidilmektedir.
290,Karpuzlu'ya nasıl gidebilirim?,Karpuzlu'ya 606 numaralı otobüs ile gidilmektedir.
291,Karpuzlu'ya nereden gidebilirim?,Karpuzlu'ya 606 numaralı otobüs ile gidilmektedir.
292,Karpuzlu'dan geçen otobüs nedir?,Karpuzlu'ya 606 numaralı otobüs ile gidilmektedir.
293,Karpuzlu'nun otobüsü nedir?,Karpuzlu'ya 606 numaralı otobüs ile gidilmektedir.
294,Karpuzlu'ya ne ile gidebilirim?,Karpuzlu'ya 606 numaralı otobüs ile gidilmektedir.
295,Karpuzlu'nun hatları nedir?,Karpuzlu'ya 606 numaralı otobüs ile gidilmektedir.
296,Karpuzlu'dan geçen numaralar nelerdir?,Karpuzlu'ya 606 numaralı otobüs ile gidilmektedir.
297,Karpuzlu'da hangi otobüsler durmaktadır?,Karpuzlu'ya 606 numaralı otobüs ile gidilmektedir.
298,Karpuzlu'da kaç numaralı otobüsler durmaktadır?,Karpuzlu'ya 606 numaralı otobüs ile gidilmektedir.
299,Koçarlı'ya nasıl gidebilirim?,Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.
300,Koçarlı'ya nereden gidebilirim?,Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.
301,Koçarlı'dan geçen otobüs nedir?,Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.
302,Koçarlı'nın otobüsü nedir?,Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.
303,Koçarlı'ya ne ile gidebilirim?,Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.
304,Koçarlı'nın hatları nedir?,Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.
305,Koçarlı'dan geçen numaralar nelerdir?,Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.
306,Koçarlı'da hangi otobüsler durmaktadır?,Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.
307,Koçarlı'da kaç numaralı otobüsler durmaktadır?,Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.
308,İncirliova'ya nasıl gidebilirim?,İncirliova'ya 606 numaralı otobüs ile gidilmektedir.
309,İncirliova'ya nereden gidebilirim?,İncirliova'ya 606 numaralı otobüs ile gidilmektedir.
310,İncirliova'dan geçen otobüs nedir?,İncirliova'ya 606 numaralı otobüs ile gidilmektedir.
311,İncirliova'nın otobüsü nedir?,İncirliova'ya 606 numaralı otobüs ile gidilmektedir.
312,İncirliova'ya ne ile gidebilirim?,İncirliova'ya 606 numaralı otobüs ile gidilmektedir.
313,İncirliova'nın hatları nedir?,İncirliova'ya 606 numaralı otobüs ile gidilmektedir.
314,İncirliova'dan geçen numaralar nelerdir?,İncirliova'ya 606 numaralı otobüs ile gidilmektedir.
315,İncirliova'da hangi otobüsler durmaktadır?,İncirliova'ya 606 numaralı otobüs ile gidilmektedir.
316,İncirliova'da kaç numaralı otobüsler durmaktadır?,İncirliova'ya 606 numaralı otobüs ile gidilmektedir.
317,Söke'ye nasıl gidebilirim?,Söke'ye 606 numaralı otobüs ile gidilmektedir.
318,Söke'ye nereden gidebilirim?,Söke'ye 606 numaralı otobüs ile gidilmektedir.
319,Söke'den geçen otobüs nedir?,Söke'ye 606 numaralı otobüs ile gidilmektedir.
320,Söke'nin otobüsü nedir?,Söke'ye 606 numaralı otobüs ile gidilmektedir.
321,Söke'ye ne ile gidebilirim?,Söke'ye 606 numaralı otobüs ile gidilmektedir.
322,Söke'nin hatları nedir?,Söke'ye 606 numaralı otobüs ile gidilmektedir.
323,Söke'den geçen numaralar nelerdir?,Söke'ye 606 numaralı otobüs ile gidilmektedir.
324,Söke'de hangi otobüsler durmaktadır?,Söke'ye 606 numaralı otobüs ile gidilmektedir.
325,Söke'de kaç numaralı otobüsler durmaktadır?,Söke'ye 606 numaralı otobüs ile gidilmektedir.
326,Kuşadası'na nasıl gidebilirim?,Kuşadası'na 606 numaralı otobüs ile gidilmektedir.
327,Kuşadası'na nereden gidebilirim?,Kuşadası'na 606 numaralı otobüs ile gidilmektedir.
328,Kuşadası'ndan geçen otobüs nedir?,Kuşadası'na 606 numaralı otobüs ile gidilmektedir.
329,Kuşadası'nın otobüsü nedir?,Kuşadası'na 606 numaralı otobüs ile gidilmektedir.
330,Kuşadası'na ne ile gidebilirim?,Kuşadası'na 606 numaralı otobüs ile gidilmektedir.
331,Kuşadası'nın hatları nedir?,Kuşadası'na 606 numaralı otobüs ile gidilmektedir.
332,Kuşadası'ndan geçen numaralar nelerdir?,Kuşadası'na 606 numaralı otobüs ile gidilmektedir.
333,Kuşadası'nda hangi otobüsler durmaktadır?,Kuşadası'na 606 numaralı otobüs ile gidilmektedir.
334,Kuşadası'nda kaç numaralı otobüsler durmaktadır?,Kuşadası'na 606 numaralı otobüs ile gidilmektedir.
335,Köşk'e nasıl gidebilirim?,Köşk'e 607 numaralı otobüs ile gidilmektedir.
336,Köşk'e nereden gidebilirim?,Köşk'e 607 numaralı otobüs ile gidilmektedir.
337,Köşk'ten geçen otobüs nedir?,Köşk'e 607 numaralı otobüs ile gidilmektedir.
338,Köşk'ün otobüsü nedir?,Köşk'e 607 numaralı otobüs ile gidilmektedir.
339,Köşk'e ne ile gidebilirim?,Köşk'e 607 numaralı otobüs ile gidilmektedir.
340,Köşk'ün hatları nedir?,Köşk'e 607 numaralı otobüs ile gidilmektedir.
341,Köşk'ten geçen numaralar nelerdir?,Köşk'e 607 numaralı otobüs ile gidilmektedir.
342,Köşk'te hangi otobüsler durmaktadır?,Köşk'e 607 numaralı otobüs ile gidilmektedir.
343,Köşk'te kaç numaralı otobüsler durmaktadır?,Köşk'e 607 numaralı otobüs ile gidilmektedir.
344,Germencik'e nasıl gidebilirim?,Germencik'e 607 numaralı otobüs ile gidilmektedir.
345,Germencik'e nereden gidebilirim?,Germencik'e 607 numaralı otobüs ile gidilmektedir.
346,Germencik'ten geçen otobüs nedir?,Germencik'e 607 numaralı otobüs ile gidilmektedir.
347,Germencik'in otobüsü nedir?,Germencik'e 607 numaralı otobüs ile gidilmektedir.
348,Germencik'e ne ile gidebilirim?,Germencik'e 607 numaralı otobüs ile gidilmektedir.
349,Germencik'in hatları nedir?,Germencik'e 607 numaralı otobüs ile gidilmektedir.
350,Germencik'ten geçen numaralar nelerdir?,Germencik'e 607 numaralı otobüs ile gidilmektedir.
351,Germencik'te hangi otobüsler durmaktadır?,Germencik'e 607 numaralı otobüs ile gidilmektedir.
352,Germencik'te kaç numaralı otobüsler durmaktadır?,Germencik'e 607 numaralı otobüs ile gidilmektedir.
353,Efeler'e nasıl gidebilirim?,Efeler'e 607 numaralı otobüs ile gidilmektedir.
354,Efeler'e nereden gidebilirim?,Efeler'e 607 numaralı otobüs ile gidilmektedir.
355,Efeler'den geçen otobüs nedir?,Efeler'e 607 numaralı otobüs ile gidilmektedir.
356,Efeler'in otobüsü nedir?,Efeler'e 607 numaralı otobüs ile gidilmektedir.
357,Efeler'e ne ile gidebilirim?,Efeler'e 607 numaralı otobüs ile gidilmektedir.
358,Efeler'in hatları nedir?,Efeler'e 607 numaralı otobüs ile gidilmektedir.
359,Efeler'den geçen numaralar nelerdir?,Efeler'e 607 numaralı otobüs ile gidilmektedir.
360,Efeler'de hangi otobüsler durmaktadır?,Efeler'e 607 numaralı otobüs ile gidilmektedir.
361,Efeler'de kaç numaralı otobüsler durmaktadır?,Efeler'e 607 numaralı otobüs ile gidilmektedir.
362,Bozdoğan'a nasıl gidebilirim?,Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.
363,Bozdoğan'a nereden gidebilirim?,Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.
364,Bozdoğan'dan geçen otobüs nedir?,Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.
365,Bozdoğan'ın otobüsü nedir?,Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.
366,Bozdoğan'a ne ile gidebilirim?,Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.
367,Bozdoğan'ın hatları nedir?,Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.
368,Bozdoğan'dan geçen numaralar nelerdir?,Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.
369,Bozdoğan'da hangi otobüsler durmaktadır?,Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.
370,Bozdoğan'da kaç numaralı otobüsler durmaktadır?,Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.
371,Çine'ye nasıl gidebilirim?,Çine'ye 607 numaralı otobüs ile gidilmektedir.
372,Çine'ye nereden gidebilirim?,Çine'ye 607 numaralı otobüs ile gidilmektedir.
373,Çine'den geçen otobüs nedir?,Çine'ye 607 numaralı otobüs ile gidilmektedir.
374,Çine'nin otobüsü nedir?,Çine'ye 607 numaralı otobüs ile gidilmektedir.
375,Çine'ye ne ile gidebilirim?,Çine'ye 607 numaralı otobüs ile gidilmektedir.
376,Çine'nin hatları nedir?,Çine'ye 607 numaralı otobüs ile gidilmektedir.
377,Çine'den geçen numaralar nelerdir?,Çine'ye 607 numaralı otobüs ile gidilmektedir.
378,Çine'de hangi otobüsler durmaktadır?,Çine'ye 607 numaralı otobüs ile gidilmektedir.
379,Çine'de kaç numaralı otobüsler durmaktadır?,Çine'ye 607 numaralı otobüs ile gidilmektedir.
380,Yeni Pazar'a nasıl gidebilirim?,Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.
381,Yeni Pazar'a nereden gidebilirim?,Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.
382,Yeni Pazar'dan geçen otobüs nedir?,Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.
383,Yeni Pazar'ın otobüsü nedir?,Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.
384,Yeni Pazar'a ne ile gidebilirim?,Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.
385,Yeni Pazar'ın hatları nedir?,Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.
386,Yeni Pazar'dan geçen numaralar nelerdir?,Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.
387,Yeni Pazar'da hangi otobüsler durmaktadır?,Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.
388,Yeni Pazar'da kaç numaralı otobüsler durmaktadır?,Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.
389,Nazilli'ye nasıl gidebilirim?,Nazilli'ye 608 numaralı otobüs ile gidilmektedir.
390,Nazilli'ye nereden gidebilirim?,Nazilli'ye 608 numaralı otobüs ile gidilmektedir.
391,Nazilli'den geçen otobüs nedir?,Nazilli'ye 608 numaralı otobüs ile gidilmektedir.
392,Nazilli'nin otobüsü nedir?,Nazilli'ye 608 numaralı otobüs ile gidilmektedir.
393,Nazilli'ye ne ile gidebilirim?,Nazilli'ye 608 numaralı otobüs ile gidilmektedir.
394,Nazilli'nin hatları nedir?,Nazilli'ye 608 numaralı otobüs ile gidilmektedir.
395,Nazilli'den geçen numaralar nelerdir?,Nazilli'ye 608 numaralı otobüs ile gidilmektedir.
396,Nazilli'de hangi otobüsler durmaktadır?,Nazilli'ye 608 numaralı otobüs ile gidilmektedir.
397,Nazilli'de kaç numaralı otobüsler durmaktadır?,Nazilli'ye 608 numaralı otobüs ile gidilmektedir.
398,Sultan Hisar'a nasıl gidebilirim?,Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.
399,Sultan Hisar'a nereden gidebilirim?,Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.
400,Sultan Hisar'dan geçen otobüs nedir?,Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.
401,Sultan Hisar'ın otobüsü nedir?,Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.
402,Sultan Hisar'a ne ile gidebilirim?,Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.
403,Sultan Hisar'ın hatları nedir?,Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.
404,Sultan Hisar'dan geçen numaralar nelerdir?,Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.
405,Sultan Hisar'da hangi otobüsler durmaktadır?,Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.
406,Sultan Hisar'da kaç numaralı otobüsler durmaktadır?,Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.
407,Kuyucak'a nasıl gidebilirim?,Kuyucak'a 608 numaralı otobüs ile gidilmektedir.
408,Kuyucak'a nereden gidebilirim?,Kuyucak'a 608 numaralı otobüs ile gidilmektedir.
409,Kuyucak'tan geçen otobüs nedir?,Kuyucak'a 608 numaralı otobüs ile gidilmektedir.
410,Kuyucak'ın otobüsü nedir?,Kuyucak'a 608 numaralı otobüs ile gidilmektedir.
411,Kuyucak'a ne ile gidebilirim?,Kuyucak'a 608 numaralı otobüs ile gidilmektedir.
412,Kuyucak'ın hatları nedir?,Kuyucak'a 608 numaralı otobüs ile gidilmektedir.
413,Kuyucak'tan geçen numaralar nelerdir?,Kuyucak'a 608 numaralı otobüs ile gidilmektedir.
414,Kuyucak'ta hangi otobüsler durmaktadır?,Kuyucak'a 608 numaralı otobüs ile gidilmektedir.
415,Kuyucak'ta kaç numaralı otobüsler durmaktadır?,Kuyucak'a 608 numaralı otobüs ile gidilmektedir.
416,Karacasu'ya nasıl gidebilirim?,Karacasu'ya 608 numaralı otobüs ile gidilmektedir.
417,Karacasu'ya nereden gidebilirim?,Karacasu'ya 608 numaralı otobüs ile gidilmektedir.
418,Karacasu'dan geçen otobüs nedir?,Karacasu'ya 608 numaralı otobüs ile gidilmektedir.
419,Karacasu'nun otobüsü nedir?,Karacasu'ya 608 numaralı otobüs ile gidilmektedir.
420,Karacasu'ya ne ile gidebilirim?,Karacasu'ya 608 numaralı otobüs ile gidilmektedir.
421,Karacasu'nun hatları nedir?,Karacasu'ya 608 numaralı otobüs ile gidilmektedir.
422,Karacasu'dan geçen numaralar nelerdir?,Karacasu'ya 608 numaralı otobüs ile gidilmektedir.
423,Karacasu'da hangi otobüsler durmaktadır?,Karacasu'ya 608 numaralı otobüs ile gidilmektedir.
424,Karacasu'da kaç numaralı otobüsler durmaktadır?,Karacasu'ya 608 numaralı otobüs ile gidilmektedir.
425,605 astim e ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır."
426,605 numara astim e ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır."
427,605 numaralı otobüs astim e ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır."
428,605 astim e fiyat ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır."
429,605 numara astim fiyat ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır."
